packet_seq_no,packet_delay_in_secs,flow_id,label
48,0.000425,1,with_out_qdisc
48,0.00017,4,with_out_qdisc
48,5.6e-05,3,with_out_qdisc
48,4.8e-05,2,with_out_qdisc
48,4.8e-05,5,with_out_qdisc
49,0.000207,1,with_out_qdisc
49,6.3e-05,4,with_out_qdisc
49,4.9e-05,3,with_out_qdisc
49,4.6e-05,2,with_out_qdisc
49,4.8e-05,5,with_out_qdisc
50,0.000203,1,with_out_qdisc
50,5.9e-05,4,with_out_qdisc
50,0.000158,3,with_out_qdisc
50,8.8e-05,2,with_out_qdisc
50,5e-05,5,with_out_qdisc
51,0.000218,1,with_out_qdisc
51,0.000328,4,with_out_qdisc
51,9.8e-05,3,with_out_qdisc
51,4.9e-05,2,with_out_qdisc
51,4.6e-05,5,with_out_qdisc
52,0.000217,1,with_out_qdisc
52,6.4e-05,4,with_out_qdisc
52,5e-05,3,with_out_qdisc
52,9.8e-05,2,with_out_qdisc
52,6.4e-05,5,with_out_qdisc
53,0.000337,1,with_out_qdisc
53,8.4e-05,4,with_out_qdisc
53,0.000235,3,with_out_qdisc
53,0.000465,2,with_out_qdisc
53,9e-05,5,with_out_qdisc
54,0.00014,1,with_out_qdisc
54,6.1e-05,4,with_out_qdisc
54,4.7e-05,3,with_out_qdisc
54,4.5e-05,2,with_out_qdisc
54,4.5e-05,5,with_out_qdisc
55,0.000215,1,with_out_qdisc
55,6.4e-05,4,with_out_qdisc
55,0.000286,3,with_out_qdisc
55,9.6e-05,2,with_out_qdisc
55,5e-05,5,with_out_qdisc
56,0.000211,1,with_out_qdisc
56,0.000187,4,with_out_qdisc
56,6.2e-05,3,with_out_qdisc
56,4.8e-05,2,with_out_qdisc
56,4.6e-05,5,with_out_qdisc
57,0.000214,1,with_out_qdisc
57,9.1e-05,4,with_out_qdisc
57,0.000119,3,with_out_qdisc
57,6.4e-05,2,with_out_qdisc
57,4.9e-05,5,with_out_qdisc
58,0.000216,1,with_out_qdisc
58,6.1e-05,4,with_out_qdisc
58,0.000122,3,with_out_qdisc
58,5.2e-05,2,with_out_qdisc
58,4.7e-05,5,with_out_qdisc
59,0.000208,1,with_out_qdisc
59,0.000156,4,with_out_qdisc
59,9.5e-05,3,with_out_qdisc
59,5e-05,2,with_out_qdisc
59,4.7e-05,5,with_out_qdisc
