duration_in_secs,handle,packets,bytes
103.030423,113:,1,1066
103.030423,111:,14,14924
103.030423,12:,334,356044
103.030423,121:,100,106600
103.030423,123:,81,86346
103.030423,112:,1,1066
103.030423,114:,4,224
103.030423,11:,19,16214
105.05216,1:,361,380786
105.05216,122:,100,106600
105.05216,124:,57,60762
105.05216,113:,1,1066
105.05216,111:,15,15990
105.05216,12:,341,363506
105.05216,121:,100,106600
105.05216,123:,85,90610
105.05216,112:,1,1066
105.05216,114:,4,224
105.05216,11:,20,17280
107.079869,1:,368,388248
107.079869,122:,100,106600
107.079869,124:,60,63960
107.079869,113:,1,1066
107.079869,111:,15,15990
107.079869,12:,348,370968
107.079869,121:,100,106600
107.079869,123:,89,94874
107.079869,112:,1,1066
107.079869,114:,4,224
107.079869,11:,20,17280
109.091247,1:,375,395710
109.091247,122:,100,106600
109.091247,124:,62,66092
109.091247,113:,1,1066
109.091247,111:,15,15990
109.091247,12:,355,378430
109.091247,121:,100,106600
109.091247,123:,94,100204
109.091247,112:,1,1066
109.091247,114:,4,224
109.091247,11:,20,17280
111.125516,1:,383,404238
111.125516,122:,100,106600
111.125516,124:,66,70356
111.125516,113:,1,1066
111.125516,111:,15,15990
111.125516,12:,363,386958
111.125516,121:,100,106600
111.125516,123:,98,104468
111.125516,112:,1,1066
111.125516,114:,4,224
111.125516,11:,20,17280
113.142481,1:,391,412766
113.142481,122:,100,106600
113.142481,124:,70,74620
113.142481,113:,1,1066
113.142481,111:,16,17056
113.142481,12:,370,394420
113.142481,121:,100,106600
113.142481,123:,100,106600
113.142481,112:,1,1066
113.142481,114:,4,224
113.142481,11:,21,18346
115.149954,1:,398,420228
115.149954,122:,100,106600
115.149954,124:,77,82082
115.149954,113:,1,1066
115.149954,111:,16,17056
115.149954,12:,377,401882
115.149954,121:,100,106600
115.149954,123:,100,106600
115.149954,112:,1,1066
115.149954,114:,4,224
115.149954,11:,21,18346
117.201411,1:,405,427690
117.201411,122:,100,106600
117.201411,124:,84,89544
117.201411,113:,1,1066
117.201411,111:,16,17056
117.201411,12:,384,409344
117.201411,121:,100,106600
117.201411,123:,100,106600
117.201411,112:,1,1066
117.201411,114:,4,224
117.201411,11:,21,18346
119.207415,1:,413,436218
119.207415,122:,100,106600
119.207415,124:,91,97006
119.207415,113:,1,1066
119.207415,111:,17,18122
119.207415,12:,391,416806
119.207415,121:,100,106600
119.207415,123:,100,106600
119.207415,112:,1,1066
119.207415,114:,4,224
119.207415,11:,22,19412
121.213458,1:,420,443680
121.213458,122:,100,106600
121.213458,124:,98,104468
121.213458,113:,1,1066
121.213458,111:,17,18122
121.213458,12:,398,424268
121.213458,121:,100,106600
121.213458,123:,100,106600
