duration_in_secs,meter_id,packets,bytes
47.216188,2,0,0
47.216188,3,0,0
48.249403,10,5,5330
48.249403,8,0,0
48.249403,9,0,0
48.249403,5,86,91676
48.249403,1,0,0
48.249403,4,0,0
48.249403,6,0,0
48.249403,7,0,0
48.249403,2,0,0
48.249403,3,0,0
49.278341,10,5,5330
49.278341,8,0,0
49.278341,9,0,0
49.278341,5,88,93808
49.278341,1,0,0
49.278341,4,0,0
49.278341,6,0,0
49.278341,7,0,0
49.278341,2,0,0
49.278341,3,0,0
50.305015,10,5,5330
50.305015,8,0,0
50.305015,9,0,0
50.305015,5,89,94874
50.305015,1,0,0
50.305015,4,0,0
50.305015,6,0,0
50.305015,7,0,0
50.305015,2,0,0
50.305015,3,0,0
51.338121,10,6,6396
51.338121,8,0,0
51.338121,9,0,0
51.338121,5,91,97006
51.338121,1,0,0
51.338121,4,0,0
51.338121,6,0,0
51.338121,7,0,0
51.338121,2,0,0
51.338121,3,0,0
52.366698,10,6,6396
52.366698,8,0,0
52.366698,9,0,0
52.366698,5,93,99138
52.366698,1,0,0
52.366698,4,0,0
52.366698,6,0,0
52.366698,7,0,0
52.366698,2,0,0
52.366698,3,0,0
53.394597,10,6,6396
53.394597,8,0,0
53.394597,9,0,0
53.394597,5,95,101270
53.394597,1,0,0
53.394597,4,0,0
53.394597,6,0,0
53.394597,7,0,0
53.394597,2,0,0
53.394597,3,0,0
54.42296,10,6,6396
54.42296,8,0,0
54.42296,9,0,0
54.42296,5,97,103402
54.42296,1,0,0
54.42296,4,0,0
54.42296,6,0,0
54.42296,7,0,0
54.42296,2,0,0
54.42296,3,0,0
55.454043,10,6,6396
55.454043,8,0,0
55.454043,9,0,0
55.454043,5,98,104468
55.454043,1,0,0
55.454043,4,0,0
55.454043,6,0,0
55.454043,7,0,0
55.454043,2,0,0
55.454043,3,0,0
56.496095,10,6,6396
56.496095,8,0,0
56.496095,9,0,0
56.496095,5,100,106600
56.496095,1,0,0
56.496095,4,0,0
56.496095,6,0,0
56.496095,7,0,0
56.496095,2,0,0
56.496095,3,0,0
57.526089,10,6,6396
57.526089,8,0,0
57.526089,9,0,0
57.526089,5,102,108732
57.526089,1,0,0
57.526089,4,0,0
57.526089,6,0,0
57.526089,7,0,0
57.526089,2,0,0
57.526089,3,0,0
58.550446,10,6,6396
58.550446,8,0,0
58.550446,9,0,0
58.550446,5,104,110864
58.550446,1,0,0
58.550446,4,0,0
58.550446,6,0,0
58.550446,7,0,0
58.550446,2,0,0
58.550446,3,0,0
59.580207,10,6,6396
59.580207,8,0,0
59.580207,9,0,0
59.580207,5,106,112996
59.580207,1,0,0
59.580207,4,0,0
59.580207,6,0,0
59.580207,7,0,0
59.580207,2,0,0
59.580207,3,0,0
60.596249,10,6,6396
60.596249,8,0,0
60.596249,9,0,0
60.596249,5,108,115128
60.596249,1,0,0
60.596249,4,0,0
60.596249,6,0,0
60.596249,7,0,0
60.596249,2,0,0
60.596249,3,0,0
61.630065,10,6,6396
61.630065,8,0,0
61.630065,9,0,0
61.630065,5,109,116194
61.630065,1,0,0
61.630065,4,0,0
61.630065,6,0,0
61.630065,7,0,0
61.630065,2,0,0
61.630065,3,0,0
62.660837,10,6,6396
62.660837,8,0,0
62.660837,9,0,0
62.660837,5,111,118326
62.660837,1,0,0
62.660837,4,0,0
62.660837,6,0,0
62.660837,7,0,0
62.660837,2,0,0
62.660837,3,0,0
63.683331,10,6,6396
63.683331,8,0,0
63.683331,9,0,0
63.683331,5,113,120458
63.683331,1,0,0
63.683331,4,0,0
63.683331,6,0,0
63.683331,7,0,0
63.683331,2,0,0
63.683331,3,0,0
