duration_in_secs,handle,packets,bytes
78.598324,114:,2,140
78.598324,11:,8,6536
80.615221,1:,125,131258
80.615221,122:,16,17056
80.615221,124:,0,0
80.615221,113:,0,0
80.615221,111:,6,6396
80.615221,12:,116,123656
80.615221,121:,100,106600
80.615221,123:,0,0
80.615221,112:,1,1066
80.615221,114:,2,140
80.615221,11:,9,7602
82.640532,1:,129,135522
82.640532,122:,20,21320
82.640532,124:,0,0
82.640532,113:,0,0
82.640532,111:,6,6396
82.640532,12:,120,127920
82.640532,121:,100,106600
82.640532,123:,0,0
82.640532,112:,1,1066
82.640532,114:,2,140
82.640532,11:,9,7602
84.658543,1:,132,138720
84.658543,122:,23,24518
84.658543,124:,0,0
84.658543,113:,0,0
84.658543,111:,6,6396
84.658543,12:,123,131118
84.658543,121:,100,106600
84.658543,123:,0,0
84.658543,112:,1,1066
84.658543,114:,2,140
84.658543,11:,9,7602
86.677774,1:,136,142984
86.677774,122:,27,28782
86.677774,124:,0,0
86.677774,113:,0,0
86.677774,111:,6,6396
86.677774,12:,127,135382
86.677774,121:,100,106600
86.677774,123:,0,0
86.677774,112:,1,1066
86.677774,114:,2,140
86.677774,11:,9,7602
88.701945,1:,139,146182
88.701945,122:,30,31980
88.701945,124:,0,0
88.701945,113:,0,0
88.701945,111:,6,6396
88.701945,12:,130,138580
88.701945,121:,100,106600
88.701945,123:,0,0
88.701945,112:,1,1066
88.701945,114:,2,140
88.701945,11:,9,7602
90.728787,1:,143,150446
90.728787,122:,34,36244
90.728787,124:,0,0
90.728787,113:,0,0
90.728787,111:,6,6396
90.728787,12:,134,142844
90.728787,121:,100,106600
90.728787,123:,0,0
90.728787,112:,1,1066
90.728787,114:,2,140
90.728787,11:,9,7602
92.760435,1:,146,153644
92.760435,122:,37,39442
92.760435,124:,0,0
92.760435,113:,0,0
92.760435,111:,6,6396
92.760435,12:,137,146042
92.760435,121:,100,106600
92.760435,123:,0,0
92.760435,112:,1,1066
92.760435,114:,2,140
92.760435,11:,9,7602
94.778218,1:,151,158974
94.778218,122:,41,43706
94.778218,124:,0,0
94.778218,113:,0,0
94.778218,111:,7,7462
94.778218,12:,141,150306
94.778218,121:,100,106600
94.778218,123:,0,0
94.778218,112:,1,1066
94.778218,114:,2,140
94.778218,11:,10,8668
96.815879,1:,154,162172
96.815879,122:,44,46904
96.815879,124:,0,0
96.815879,113:,0,0
96.815879,111:,7,7462
96.815879,12:,144,153504
96.815879,121:,100,106600
96.815879,123:,0,0
96.815879,112:,1,1066
96.815879,114:,2,140
96.815879,11:,10,8668
98.836844,1:,158,166436
98.836844,122:,48,51168
98.836844,124:,0,0
98.836844,113:,0,0
98.836844,111:,7,7462
98.836844,12:,148,157768
98.836844,121:,100,106600
98.836844,123:,0,0
98.836844,112:,1,1066
98.836844,114:,2,140
98.836844,11:,10,8668
100.853621,1:,162,170700
100.853621,122:,52,55432
100.853621,124:,0,0
100.853621,113:,0,0
100.853621,111:,7,7462
100.853621,12:,152,162032
100.853621,121:,100,106600
100.853621,123:,0,0
100.853621,112:,1,1066
100.853621,114:,2,140
100.853621,11:,10,8668
102.906239,1:,165,173898
102.906239,122:,55,58630
102.906239,124:,0,0
102.906239,113:,0,0
102.906239,111:,7,7462
102.906239,12:,155,165230
102.906239,121:,100,106600
102.906239,123:,0,0
102.906239,112:,1,1066
102.906239,114:,2,140
102.906239,11:,10,8668
104.916931,1:,169,178162
104.916931,122:,59,62894
104.916931,124:,0,0
104.916931,113:,0,0
104.916931,111:,7,7462
104.916931,12:,159,169494
104.916931,121:,100,106600
104.916931,123:,0,0
104.916931,112:,1,1066
104.916931,114:,2,140
104.916931,11:,10,8668
106.936974,1:,172,181360
106.936974,122:,62,66092
106.936974,124:,0,0
106.936974,113:,0,0
106.936974,111:,7,7462
106.936974,12:,162,172692
106.936974,121:,100,106600
106.936974,123:,0,0
106.936974,112:,1,1066
106.936974,114:,2,140
106.936974,11:,10,8668
108.946528,1:,177,186690
108.946528,122:,66,70356
108.946528,124:,0,0
108.946528,113:,0,0
108.946528,111:,8,8528
108.946528,12:,166,176956
108.946528,121:,100,106600
108.946528,123:,0,0
108.946528,112:,1,1066
108.946528,114:,2,140
108.946528,11:,11,9734
110.976573,1:,180,189888
110.976573,122:,69,73554
110.976573,124:,0,0
110.976573,113:,0,0
110.976573,111:,8,8528
110.976573,12:,169,180154
110.976573,121:,100,106600
110.976573,123:,0,0
110.976573,112:,1,1066
110.976573,114:,2,140
110.976573,11:,11,9734
113.002286,1:,184,194152
113.002286,122:,73,77818
113.002286,124:,0,0
113.002286,113:,0,0
113.002286,111:,8,8528
113.002286,12:,173,184418
113.002286,121:,100,106600
113.002286,123:,0,0
113.002286,112:,1,1066
113.002286,114:,2,140
