duration_in_secs,meter_id,packets,bytes
46.843162,2,500,533000
46.843162,3,0,0
47.850283,10,0,0
47.850283,8,0,0
47.850283,9,0,0
47.850283,5,0,0
47.850283,1,0,0
47.850283,4,0,0
47.850283,6,0,0
47.850283,7,29,30914
47.850283,2,500,533000
47.850283,3,0,0
48.858536,10,0,0
48.858536,8,0,0
48.858536,9,0,0
48.858536,5,0,0
48.858536,1,0,0
48.858536,4,0,0
48.858536,6,0,0
48.858536,7,29,30914
48.858536,2,500,533000
48.858536,3,0,0
49.888414,10,0,0
49.888414,8,0,0
49.888414,9,0,0
49.888414,5,0,0
49.888414,1,0,0
49.888414,4,0,0
49.888414,6,0,0
49.888414,7,30,31980
49.888414,2,500,533000
49.888414,3,0,0
50.916407,10,0,0
50.916407,8,0,0
50.916407,9,0,0
50.916407,5,0,0
50.916407,1,0,0
50.916407,4,0,0
50.916407,6,0,0
50.916407,7,30,31980
50.916407,2,500,533000
50.916407,3,0,0
51.945579,10,0,0
51.945579,8,0,0
51.945579,9,0,0
51.945579,5,0,0
51.945579,1,0,0
51.945579,4,0,0
51.945579,6,0,0
51.945579,7,31,33046
51.945579,2,500,533000
51.945579,3,0,0
52.953687,10,0,0
52.953687,8,0,0
52.953687,9,0,0
52.953687,5,0,0
52.953687,1,0,0
52.953687,4,0,0
52.953687,6,0,0
52.953687,7,31,33046
52.953687,2,500,533000
52.953687,3,0,0
53.982678,10,0,0
53.982678,8,0,0
53.982678,9,0,0
53.982678,5,0,0
53.982678,1,0,0
53.982678,4,0,0
53.982678,6,0,0
53.982678,7,32,34112
53.982678,2,500,533000
53.982678,3,0,0
55.021857,10,0,0
55.021857,8,0,0
55.021857,9,0,0
55.021857,5,0,0
55.021857,1,0,0
55.021857,4,0,0
55.021857,6,0,0
55.021857,7,33,35178
55.021857,2,500,533000
55.021857,3,0,0
56.030587,10,0,0
56.030587,8,0,0
56.030587,9,0,0
56.030587,5,0,0
56.030587,1,0,0
56.030587,4,0,0
56.030587,6,0,0
56.030587,7,33,35178
56.030587,2,500,533000
56.030587,3,0,0
57.040647,10,0,0
57.040647,8,0,0
57.040647,9,0,0
57.040647,5,0,0
57.040647,1,0,0
57.040647,4,0,0
57.040647,6,0,0
57.040647,7,34,36244
57.040647,2,500,533000
57.040647,3,0,0
58.056245,10,0,0
58.056245,8,0,0
58.056245,9,0,0
58.056245,5,0,0
58.056245,1,0,0
58.056245,4,0,0
58.056245,6,0,0
58.056245,7,34,36244
58.056245,2,500,533000
58.056245,3,0,0
59.073612,10,0,0
59.073612,8,0,0
59.073612,9,0,0
59.073612,5,0,0
59.073612,1,0,0
59.073612,4,0,0
59.073612,6,0,0
59.073612,7,35,37310
59.073612,2,500,533000
59.073612,3,0,0
60.103299,10,0,0
60.103299,8,0,0
60.103299,9,0,0
60.103299,5,0,0
60.103299,1,0,0
60.103299,4,0,0
60.103299,6,0,0
60.103299,7,35,37310
60.103299,2,500,533000
60.103299,3,0,0
61.116798,10,0,0
61.116798,8,0,0
61.116798,9,0,0
61.116798,5,0,0
61.116798,1,0,0
61.116798,4,0,0
61.116798,6,0,0
61.116798,7,36,38376
61.116798,2,500,533000
61.116798,3,0,0
62.148126,10,0,0
62.148126,8,0,0
62.148126,9,0,0
62.148126,5,0,0
62.148126,1,0,0
62.148126,4,0,0
62.148126,6,0,0
62.148126,7,37,39442
62.148126,2,500,533000
62.148126,3,0,0
63.156389,10,0,0
63.156389,8,0,0
63.156389,9,0,0
63.156389,5,0,0
63.156389,1,0,0
63.156389,4,0,0
63.156389,6,0,0
63.156389,7,37,39442
63.156389,2,500,533000
63.156389,3,0,0
